,Suburb,Latitude,Longitude
579,STANWELL PARK,-34.228928,150.9881239
580,STANWELL TOPS,-34.2206247,150.97997
581,STRATHFIELD,-33.87981765,151.07852459132124
582,STRATHFIELD SOUTH,-33.87981765,151.07852459132124
583,SUMMER HILL,-33.8904591,151.1387232
584,SURRY HILLS,-33.8845123,151.2100301
585,SUTHERLAND,42.9741435,-95.4975058
586,SYDENHAM,-33.9140246,151.1671557
587,SYDNEY,-33.8548157,151.2164539
588,SYDNEY OLYMPIC PARK,-33.842903,151.072535
589,SYLVANIA,34.5623077,-85.8124715
590,SYLVANIA WATERS,-34.0185844,151.11228
591,TAMARAMA,-33.8987452,151.2710753
592,TAREN POINT,-34.0200181,151.1226751
593,TELOPEA,-33.7939218,151.0409442
594,TEMPE,-33.9245392,151.1564329
595,TENNYSON POINT,-33.8313822,151.116944
596,TERREY HILLS,-33.6918185,151.2205908
597,THE PONDS,-33.7066667,150.9091667
598,THE ROCKS,-29.9374852,146.8035982
599,THIRROUL,-34.3164691,150.918932
600,THORNLEIGH,-33.7236616,151.0809407
601,TOONGABBIE,-33.7866894,150.9526498
602,TREGEAR,-33.7486957,150.7957569
603,TURRAMURRA,-33.7354346,151.1300645
604,TURRELLA,-33.9302706,151.1409234
605,ULTIMO,-33.8794728,151.1984346
606,VARROVILLE,-34.0066667,150.8177778
607,VAUCLUSE,47.2583023,6.687735
608,VILLAWOOD,-33.8857243,150.9837511
609,VINEYARD,-33.6483333,150.8677778
610,VOYAGER POINT,-33.9586149,150.9738889
611,WAHROONGA,-33.720367,151.1142463
612,WAITARA,-33.7094453,151.1055581
613,WAKELEY,51.9238019,-0.0505474
614,WALLACIA,-33.8653337,150.6409771
615,WAREEMBA,-33.8575001,151.1319513
616,WARRAWEE,-33.7279732,151.1232279
617,WARRIEWOOD,-33.690306,151.2942716
618,WARWICK FARM,-33.915,150.9344444
619,WATERFALL,-33.8762477,151.2029644521453
620,WATERLOO,-33.9002762,151.2073137
621,WATSONS BAY,-33.8432736,151.2825736
622,WATTLE GROVE,-33.9564013,150.9405862
623,WAVERLEY,51.158322999999996,-0.6233216066405007
624,WAVERTON,54.8151872,-3.210091
625,WEDDERBURN,-36.4192187,143.6143424
626,WENTWORTH POINT,-33.8268958,151.0774351
627,WENTWORTHVILLE,-33.8066667,150.9677778
628,WERRINGTON,-33.758666,150.7579617
629,WERRINGTON COUNTY,-33.7469444,150.7486111
630,WERRINGTON DOWNS,-33.7413889,150.7322222
631,WEST HOXTON,-33.9316667,150.8344444
632,WEST PENNANT HILLS,-33.7478359,151.0350621
633,WEST PYMBLE,-33.7646844,151.1318993
634,WEST RYDE,-33.8094444,151.0858333
635,WESTLEIGH,-33.715,151.0677778
636,WESTMEAD,-33.8076498,150.9877265
637,WETHERILL PARK,-33.8483333,150.9011111
638,WHALAN,-33.7566667,150.8094444
639,WHALE BEACH,-33.6096795,151.3309449
640,WHEELER HEIGHTS,-33.7286867,151.2806965
641,WILEY PARK,-33.9230556,151.0677778
642,WILLMOT,-33.7247222,150.7938889
643,WILLOUGHBY,-33.8063889,151.2002778
644,WILLOUGHBY EAST,-33.7991667,151.2061111
645,WINDSOR,32.8641185,-96.8445367
646,WINDSOR DOWNS,-33.6566667,150.8094444
647,WINSTON HILLS,-33.7761098,150.9816606
648,WISEMANS FERRY,-33.3852776,150.9868024
649,WOLLI CREEK,-33.9285225,151.1539888
650,WOLLSTONECRAFT,-33.8332039,151.1959273
651,WOMBARRA,-34.2769444,150.9508333
652,WOODBINE,38.7961151,-96.9586243
653,WOODCROFT,-33.7586111,150.8783333
654,WOODPARK,54.93588895,-7.740645339708886
655,WOOLLAHRA,-33.861791749999995,151.27334161152964
656,WOOLLOOMOOLOO,-33.8718758,151.2192218
657,WOOLOOWARE,-34.0448411,151.1401717
658,WOOLWICH,51.4826696,0.0623335
659,WORONORA,-34.0248014,151.0454079
660,WORONORA HEIGHTS,-34.034387,151.027167
661,YAGOONA,-33.9037907,151.0176677
662,YARRAWARRAH,-34.056681,151.0308884
663,YENNORA,-33.8620079,150.9686096
664,YOWIE BAY,-34.0502778,151.1033333
665,ZETLAND,-33.9076623,151.2082183
