,Suburb,Latitude,Longitude
132,CHERRYBROOK,-33.7227778,151.0461111
133,CHESTER HILL,-33.8816667,151.0011111
134,CHIFLEY,-33.9702813,151.2394867
135,CHIPPENDALE,-33.8863291,151.1998211
136,CHIPPING NORTON,-33.919687,150.9630711
137,CHISWICK,51.4923137,-0.263818
138,CHULLORA,-33.8925,151.0477778
139,CHURCH POINT,44.340335,-66.1113132
140,CLAREMONT MEADOWS,-33.7691667,150.7483333
141,CLARENDON,34.9359346,-100.8905829
142,CLAREVILLE,-33.6320071,151.3145323
143,CLAYMORE,-34.0469444,150.81
144,CLEMTON PARK,-33.9258322,151.1029075
145,CLIFTON,40.6201041,-74.0770857
146,CLONTARF,45.37635,-95.678651
147,CLOVELLY,50.9909081,-4.399857311203838
148,CLYDE,-33.833532,151.0218891
149,COALCLIFF,-34.2438889,150.9736111
150,COASTERS RETREAT,-33.6048099,151.2988042
151,COBBITTY,-34.0104185,150.6922716
152,COLEBEE,-33.7270077,150.8521783
153,COLEDALE,-34.2919171,150.9443631
154,COLLAROY,-33.7382194,151.2996618
155,COLLAROY PLATEAU,-33.7303841,151.2910394
156,COLYTON,-33.7822222,150.7958333
157,COMO,-33.862283500000004,151.0816813348334
158,CONCORD,-33.8556716,151.1067667
159,CONCORD WEST,-33.843168,151.0920563
160,CONDELL PARK,-33.9227852,151.0113144
161,CONNELLS POINT,-33.9869476,151.0942725
162,CONSTITUTION HILL,52.6339196,-1.1229602
163,COOGEE,-33.9217004,151.2557975
164,COTTAGE POINT,-33.6195161,151.203318
165,COWAN,-33.5888297,151.1698568
166,CRANEBROOK,-33.7048583,150.70641
167,CREMORNE,-33.8260081,151.2254326
168,CREMORNE POINT,-33.8409547,151.2279762
169,CROMER,-33.7385227,151.2762995
170,CRONULLA,-34.0563498,151.1496533
171,CROWS NEST,-33.8255649,151.2036095
172,CROYDON,51.3713049,-0.101957
173,CROYDON PARK,-33.8975316,151.1024641
174,CURL CURL,-33.7698341,151.2898175
